薿	艹疑ノㄋ丶丶
飧	夕食ノ丶丶丶
夤	夕㝉丨ㄋ丶丶
覆	覀彳ノ一丶丶
贾	覀贝丨ㄋ丶丶
粟	覀米丶ノ丶丶
栗	覀木一丨丶丶
要	覀女ㄋノ一一
票	覀示一一丶丶
飘	覀示ノㄋ丶丶
剽	覀示丨丨丨丨
瓢	覀示ノノ丶丶
甄	覀土一ㄋ丶丶
鄄	覀土ㄋ丨丨丨
覃	覀早丨ㄋ丨丨
歅	覀土ノㄋ丶丶
迺	西辶丶ㄋ丶丶
习	习ㄋ丶一一
飨	乡食ノ丶丶丶
逍	肖辶丶ㄋ丶丶
肖	肖丨丶一一
削	肖刂丨丨丨丨
尘	小土一丨一一
尜	小大丨ノ丶丶
劣	小丿ㄋノノノ
省	小丿丨ㄋ一一
尖	小大一ノ丶丶
少	小丿ノノノノ
小	小丨ノ丶丶
雀	小隹ノ丨一一
心	心丶ㄋ丶丶
必	必丶ㄋ丶丶
邲	必阝ㄋ丨丨丨
辛	辛丶一丨丨
鹗	吅亏ノㄋ一一
颚	吅亏一ノ丶丶
鄂	吅亏ㄋ丨丨丨
鼍	吅田一ㄋㄋㄋ
器	吅犬丨ㄋ一一
咒	吅几ノㄋㄋㄋ
骂	吅马ㄋㄋ一一
哭	吅犬一ノ丶丶
嚣	吅页丨ㄋ一一
嚚	吅臣丨ㄋ一一
窃	穴七ㄋノノノ
窈	穴幺ㄋノノノ
窿	穴阝ノㄋ一一
窗	穴囟ノㄋ丶丶
窟	穴尸ㄋ丨丨丨
窘	穴尹丨ㄋ一一
窒	穴至一ㄋ一一
窝	穴呙丨ㄋ丶丶
窨	穴音丶一一一
窦	穴十ㄋ丶丶丶
窜	穴口丨ㄋ丨丨
窑	穴缶ノ一丨丨
空	穴工一丨一一
穹	穴弓ㄋ一ㄋㄋ
窠	穴日一丨丶丶
帘	穴巾丨ㄋ丨丨
究	穴九ノㄋㄋㄋ
穷	穴力ㄋノノノ
窭	穴米ㄋノ一一
突	穴犬一ノ丶丶
窀	穴屯一ㄋㄋㄋ
穸	穴夕ノㄋ丶丶
穿	穴牙一ㄋノノ
窄	穴乍ノ一一一
窕	穴儿丶一丶丶
容	宀谷ノ丶一一
穴	穴丶丶丶丶
窆	穴丿丶ㄋ丶丶
邃	穴㒸丶ㄋ丶丶
窥	穴夫丨ㄋㄋㄋ
窍	穴工一ㄋㄋㄋ
窳	穴瓜ノノ丶丶
窬	穴俞ノ丶丨丨
窖	穴告ノ一一一
窣	穴卒丶一丨丨
窸	穴丿丶ノ丶丶
窊	穴瓜ノノ丶丶
窅	穴目丨ㄋ一一
窎	穴鸟ノㄋ一一
彟	彐寸一丨丶丶
鸦	牙鸟ノㄋ一一
雅	牙隹ノ丨一一
邪	牙阝ㄋ丨丨丨
迓	牙辶丶ㄋ丶丶
牙	牙一ㄋノノ
讵	讠匚ㄋ一一一
诓	讠匚一一一一
讴	讠区一ノㄋㄋ
讹	讠亻ノㄋㄋㄋ
诹	讠耳ㄋ丶丶丶
诳	讠犭一一一一
诛	讠丿一一丶丶
谢	讠身一丨丶丶
诩	讠羽ㄋ丶一一
词	讠一丨一一
询	讠勹丨ㄋ一一
诫	讠戈一ノ丨丨
谶	讠从一ㄋ一一
试	讠弋一丨一一
诞	讠丿丨一丶丶
谴	讠中一丶丶丶
谜	讠米丶ㄋ丶丶
谰	讠门一丨丶丶
诚	讠戊ㄋㄋㄋㄋ
讽	讠风ノㄋ丶丶
诡	讠厃ㄋㄋㄋㄋ
谑	讠虍一ㄋ一一
诟	讠丨ㄋ一一
谝	讠户丨ㄋ丨丨
诙	讠丶ノ丶丶
议	讠丶ノ丶丶丶
诸	讠者一丨一一
谐	讠比ノ丨一一
谮	讠旡一ㄋ一一
谬	讠羽ノ丶ノノ
谌	讠其ㄋㄋㄋㄋ
谛	讠帝丨ㄋ丨丨
谂	讠今丶ㄋ丶丶
谤	讠帝丶一ノノ
谅	讠京丶一丶丶
谆	讠享丶一一一
谗	讠免丶丶丶丶
谊	讠宀丨ㄋ一一
诧	讠宀ノ一ㄋㄋ
该	讠亥丶一丶丶
谫	讠前ㄋノノノ
谥	讠䒑ノ丶一一
诲	讠每ノ一丶丶
许	讠一丨丨丨
讫	讠ㄋㄋㄋㄋ
诌	讠刍ノㄋ一一
谄	讠ノ丨一一
诮	讠肖丨丶一一
请	讠青一一一一
诜	讠先ノ一ㄋㄋ
讼	讠公ノ丶丶丶
说	讠总ノㄋㄋㄋ
论	讠人ノㄋㄋㄋ
诣	讠旨ノㄋ一一
诺	讠艹一ノ一一
谎	讠艹丶一ㄋㄋ
谟	讠莫一丨丶丶
诏	讠召ㄋノ一一
谋	讠甘一丨丶丶
诱	讠禾ㄋノノノ
诿	讠禾ㄋノ一一
谈	讠炎丶ノ丶丶
设	讠殳ノㄋ丶丶
识	讠口ノ丶丶丶
误	讠口一一丶丶
谙	讠音丶一一一
谲	讠矛丨ㄋ一一
谨	讠堇一丨一一
诨	讠冖一ㄋ丨丨
诊	讠㐱ノ丶ノノ
谇	讠卒丶一丨丨
读	讠十ㄋ丶丶丶
诘	讠吉一丨一一
诋	讠氏丶丶丶丶
谍	讠世一丨丶丶
诒	讠台ㄋ丶一一
谡	讠田ノ丶丶丶
谓	讠田丨ㄋ一一
诗	讠土一丨丶丶
诖	讠圭一丨一一
诠	讠人一一一一
谚	讠产ノノノノ
证	讠正一丨一一
译	讠又一一丨丨
谒	讠曷丨ㄋㄋㄋ
谩	讠日丨ㄋ丶丶
谣	讠爫ノ一丨丨
谖	讠爰ノ丶丶丶
谯	讠隹丶丶丶丶
诵	讠甬ㄋ丶丨丨
谧	讠心ノ丨一一
讣	讠卜丨丶丶丶
诉	讠斤丶丶丶丶
诎	讠出ㄋ丨丨丨
诼	讠豕丶丶丶丶
训	讠川ノ丨丨丨
讨	讠寸一丨丶丶
访	讠方丶一ノノ
讦	讠干一一丨丨
讧	讠工一丨一一
课	讠日一丨丶丶
讥	讠几ノㄋㄋㄋ
记	讠己ㄋ一ㄋㄋ
讲	讠井一一丨丨
诀	讠夬ㄋ一丶丶
诔	讠耒一一丶丶
讷	讠内丨ㄋ丶丶
评	讠平一丶丨丨
诅	讠且丨ㄋ一一
认	讠人ノ丶丶丶
讪	讠山丨ㄋ丨丨
让	讠上丨一一一
计	讠十一丨丨丨
讳	讠韦一一丨丨
诬	讠工ノ丶丶丶
讯	讠一丨丨丨
讶	讠牙一ㄋノノ
详	讠羊丶ノ丨丨
谀	讠臼ノ丶丶丶
诈	讠乍ノ一一一
谁	讠隹ノ丨一一
谵	讠厃ノ丶一一
诶	讠厶ノ一丶丶
诤	讠争ノㄋ丨丨
谳	讠十丨ㄋ丨丨
诃	讠可一丨丨丨
调	讠冂一丨一一
谪	讠商丶一一一
谠	讠ノㄋㄋㄋ
谕	讠俞ノ丶丨丨
谱	讠並丨ㄋ一一
诰	讠告ノ一一一
话	讠舌ノ一一一
诂	讠古一丨一一
语	讠五丨ㄋ一一
谭	讠覀丨ㄋ丨丨
谔	讠吅一一ㄋㄋ
谦	讠兼丶ノ丶丶
订	讠丁一丨丨丨
诽	讠非丨一一一
诐	讠皮ㄋノ丶丶
讱	讠刀丶丶丶丶
诇	讠冂丨ㄋ一一
燮	言火丶ノ丶丶
言	言丶一一一
鸯	央鸟ノㄋ一一
盎	央皿丨ㄋ一一
善	羊䒑丨ㄋ一一
养	羊丶ノ丨丨丨
羊	羊丶ノ丨丨
鄯	羊䒑丨ㄋ丨丨
羚	羊令ノ丶丶丶
幻	幺ㄋㄋㄋㄋ
幼	幺力ㄋノノノ
畿	幺幺一ㄋ一一
幺	幺ㄋㄋ丶丶
乔	夭ノ丨丨丨
岙	夭山丨ㄋ丨丨
夭	夭ノ一丶丶
也	也ㄋ丨ㄋㄋ
邺	业阝ㄋ丨丨丨
凿	业ㄋ丨丨丨
黹	业丷丨ㄋ丶丶
业	业丨丨一一
黻	业米一ノ丶丶
黼	业丷丨ㄋ丶丶
页	页一ノ丶丶
救	求攵ノ一丶丶
劢	万力ㄋノノノ
武	一弋丨一一一
与	与一一一一一
遭	曹辶丶ㄋ丶丶
逦	丽辶丶ㄋ丶丶
逑	求辶丶ㄋ丶丶
迈	万辶丶ㄋ丶丶
曹	曹一丨一一
惠	惠心丶ㄋ丶丶
妻	妻女ㄋノ一一
型	开刂一丨一一
忝	天丨丶丶丶
蚕	天虫丨ㄋ丶丶
吞	天口丨ㄋ一一
焉	正与丶丶丶丶
虿	万虫丨ㄋ丶丶
忑	下心丶ㄋ丶丶
晋	亚日丨ㄋ一一
垩	亚土一丨一一
恶	亚心丶ㄋ丶丶
丽	丽一丨丶丶
画	一田ㄋ丨丨丨
亘	一旦丨ㄋ一一
天	天一一丶丶
开	开一一丨丨
灭	一火丶ノ丶丶
亓	一丌一ノ丨丨
再	一冉丨ㄋ一一
正	正一丨一一
一	一一一一一
于	于一一丨丨
下	下一丨丶丶
万	万一ㄋノノ
事	同肀ㄋ一丨丨
两	丙从ノ丶丶丶
西	西一丨一一
无	一尢一ノㄋㄋ
求	求一丨丶丶
更	更一丨丶丶
亚	亚一丨一一
严	亚丿ノノノノ
互	一彑ㄋㄋ一一
末	末一一丶丶
豆	豆一丨一一
丐	一⺊ㄋㄋㄋㄋ
吏	同乂ノ丶丶丶
兀	兀一ノㄋㄋ
卅	一川ノ丨丨丨
鬲	鬲一丨丨丨
鹉	一弋丨一一一
欤	与一ノㄋ丶丶
鄢	正与丶丶丨丨
戬	亚日丨ㄋ丶丶
鹂	丽鸟ノㄋ一一
郦	丽阝ㄋ丨丨丨
刑	开刂丨丨丨丨
形	开彡ノノノノ
邢	开阝ㄋ丨丨丨
邴	丙人ㄋ丨丨丨
政	正攵ノ一丶丶
迂	于辶丶ㄋ丶丶
裘	求衣丶一丶丶
趸	万足丨ㄋ丶丶
丙	丙人ノ丶丶丶
盂	于皿丨ㄋ一一
郪	妻女ㄋ丨丨丨
邘	于阝ㄋ丨丨丨
鄑	亚日ㄋ丨丨丨
祷	衤一丨丶丶
裼	衤日ノㄋノノ
褂	衤圭丨丶丶丶
褓	衤华丨ㄋ一一
袱	衤亻一ノ丶丶
襁	衤弓丨ㄋ丶丶
袍	衤勹ㄋ一ㄋㄋ
裢	衤车丶ㄋ丶丶
裥	衤门丨ㄋ一一
衩	衤又丶丶丶丶
褫	衤丨一ㄋㄋ
裤	衤广一ㄋ丨丨
褊	衤户丨ㄋ丨丨
裙	衤尹丨ㄋ一一
褚	衤者一丨一一
裕	衤谷ノ丶一一
褴	衤监丨ㄋ一一
褙	衤北丨ㄋ一一
褶	衤羽ノ丨一一
裰	衤双ㄋ丶丶丶
褥	衤辰一丨丶丶
襻	衤木ノ丶丨丨
衿	衤今ノ丶ㄋㄋ
裆	衤ㄋ一一一
裎	衤口一一一一
褛	衤米ㄋノ一一
衽	衤壬ノ一一一
袒	衤旦丨ㄋ一一
褐	衤曷丨ㄋㄋㄋ
袼	衤各ノㄋ一一
裱	衤ノㄋ丶丶
补	衤卜丨丶丶丶
衬	衤寸一丨丶丶
初	衤刀ㄋノノノ
裸	衤日一丨丶丶
袂	衤夬ㄋ一丶丶
袜	衤未一一丶丶
衲	衤内丨ㄋ丶丶
被	衤皮ㄋノ丶丶
衫	衤彡ノノノノ
褪	衤艮丶ㄋ丶丶
裾	衤尸一丨一一
裨	衤卑ノ丨丨丨
裣	衤佥ノ丶一一
袷	衤合ノ丶一一
褡	衤艹ノ丶一一
袄	衤夭ノ一丶丶
襦	衤雨一ノ丨丨
袢	衤半丶ノ丨丨
裉	衤艮ㄋ一丶丶
袖	衤由丨ㄋ一一
袪	衤去一丨丶丶
袆	衤韦一一丨丨
裈	衤冖一ㄋ丨丨
襕	衤门一丨丶丶
褯	衤广一丨丨丨
袗	衤㐱ノ丶ノノ
襚	衤㒸丶ㄋ丶丶
襜	衤厃ノ丶一一
褕	衤俞ノ丶丨丨
袯	衤发ㄋノ丶丶
裔	衣冏丨ㄋ一一
衣	衣丶一丶丶
颐	页一ノ丶丶
赜	丨ㄋ丶丶
乙	乙ㄋㄋㄋㄋ
厾	乙去一丨丶丶
已	已ㄋ一ㄋㄋ
刈	乂刂丨丨丨丨
凶	㐅凵ㄋ丨丨丨
希	希ノ丶丨丨
肴	乂丨ㄋ一一
杀	乂朩一丨丶丶
爻	爻ノ丶丶丶
欷	希欠ノㄋ丶丶
郄	乂ㄋ丶丨丨
郗	希阝ㄋ丨丨丨
弑	乂朩一ㄋ一一
刹	乂朩丨丨丨丨
瓻	希瓦一ㄋ丶丶
贰	弋二丨ㄋ丶丶
式	弋工一丨一一
忒	弋心丶ㄋ丶丶
鸢	弋鸟ノㄋ一一
甙	弋甘一丨一一
弋	弋一ㄋ丶丶
鸾	亦鸟ノㄋ一一
蛮	亦虫丨ㄋ丶丶
弯	亦弓ㄋ一ㄋㄋ
銮	亦金ノ丶一一
栾	亦木一丨丶丶
娈	亦女ㄋノ一一
脔	亦内ノ丶丶丶
峦	亦山丨ㄋ丨丨
挛	亦手ノ一丨丨
恋	亦心丶ㄋ丶丶
变	亦又ㄋ丶丶丶
孪	亦子ㄋ丨一一
竟	音儿ノㄋㄋㄋ
韵	音勹丶一一一
歆	音欠ノㄋ丶丶
韶	音召ㄋノ一一
意	音心丶ㄋ丶丶
音	音丶一一一
君	尹口丨ㄋ一一
尹	尹ㄋ一ノノ
群	尹口丶ノ丨丨
郡	尹口ㄋ丨丨丨
举	兴八一一丨丨
兴	兴八ノ丶丶丶
誉	兴八丶一一一
用	用ノㄋ丨丨
尥	尢勹丶丶丶丶
尴	尢监丨ㄋ一一
尬	尢人ノ丨丨丨
尤	尢丶丶丶丶丶
尢	尢一ノㄋㄋ
由	由丨ㄋ一一
邮	由阝ㄋ丨丨丨
迪	由辶丶ㄋ丶丶
胄	由⺝丨ㄋ一一
酬	酉川丶丶丶丶
酉	酉一丨一一
醣	酉广ㄋ一一一
醐	酉古ノㄋ一一
酌	酉勹丶丶丶丶
醚	酉米丶ㄋ丶丶
酞	酉大丶丶丶丶
酮	酉冂丨ㄋ一一
醵	酉虍一ノ丶丶
酗	酉乂ㄋ丨丨丨
酵	酉耂ㄋ丨一一
醪	酉羽ノ丶ノノ
醢	酉丨ㄋ一一
醇	酉享丶一一一
醯	酉㐬丨ㄋ一一
酡	酉宀ノㄋㄋㄋ
酴	酉余ノ丶丶丶
醑	酉疋丨ㄋ一一
酶	酉每ノ一丶丶
酰	酉先ノ一ㄋㄋ
酷	酉告ノ一一一
酚	酉分ノ丶ノノ
酯	酉旨ノㄋ一一
醛	酉艹ノ丶一一
酿	酉良丶ㄋ丶丶
酝	酉云一一丶丶
酲	酉口一一一一
醅	酉立丨ㄋ一一
醴	酉曲一丨一一
醌	酉日一ㄋㄋㄋ
醍	酉是丨ㄋ丶丶
醒	酉日ノ一一一
醉	酉卒丶一丨丨
酤	酉古一丨一一
酸	酉夋ㄋ丶丶丶
酩	酉夕丨ㄋ一一
醭	酉业丶ノ丶丶
酾	酉丽一丨丶丶
酹	酉爫一丨丶丶
酪	酉各ノㄋ一一
醮	酉隹丶丶丶丶
醋	酉昔一丨一一
酎	酉寸一丨丶丶
酊	酉丁一丨丨丨
酣	酉甘一丨一一
酐	酉干一一丨丨
酥	酉禾ノ一丶丶
配	酉己ㄋ一ㄋㄋ
醺	酉千丨ㄋ丶丶
酽	酉亚ノノノノ
酏	酉也ㄋ丨ㄋㄋ
酢	酉乍ノ一一一
酺	酉甫一丨丶丶
醨	酉㐫丨ㄋ丶丶
酦	酉发ㄋノ丶丶
鸡	又鸟ノㄋ一一
欢	又欠ノㄋ丶丶
对	又寸一丨丶丶
戏	又戈一ㄋ丶丶
劝	又力ㄋノノノ
难	又隹ノ丨一一
邓	又阝ㄋ丨丨丨
叉	又丶丶丶丶丶
怼	又寸丶ㄋ丶丶
蚤	又丶丨ㄋ丶丶
桑	又双一丨丶丶
叠	又双丶ㄋ一一
圣	又土一丨一一
又	又ㄋ丶丶丶
颡	又双一丨丶丶
观	又见丨ㄋㄋㄋ
艰	又艮ㄋ一丶丶
鲁	鱼日丨ㄋ一一
鱼	鱼ノㄋ一一
鲶	鱼今丶ㄋ丶丶
鳆	鱼丨ㄋ丶丶
鳋	鱼又丶丨丶丶
鲫	鱼ㄋ丨丨丨
鳓	鱼革ㄋノノノ
鲋	鱼付ノ丨丶丶
鲰	鱼耳ㄋ丶丶丶
鳅	鱼禾丶ノ丶丶
鲥	鱼日一丨丶丶
鲍	鱼勹ㄋ一ㄋㄋ
鲺	鱼ノ丨丶丶
鲢	鱼车丶ㄋ丶丶
鲷	鱼冂一丨一一
鲴	鱼囗一丨一一
鳜	鱼厂丶ノ丶丶
鳙	鱼广ㄋ一一一
鳊	鱼户丨ㄋ丨丨
鳍	鱼耂ノㄋ一一
鳝	鱼羊丶ノ一一
鲣	鱼坚一丨一一
鲸	鱼京丶一丶丶
鳟	鱼酋一丨丶丶
鲩	鱼宀一一ㄋㄋ
鲛	鱼交丶一丶丶
鲭	鱼青一一一一
鳇	鱼白一一一一
鲈	鱼⺊ㄋ一ノノ
鲇	鱼占丨一一一
鲻	鱼巛丨ㄋ一一
鲟	鱼彐一丨丶丶
鲵	鱼臼ノㄋㄋㄋ
鳞	鱼米ノㄋ丨丨
鲧	鱼丿ㄋㄋ丶丶
鳢	鱼曲一丨一一
鲲	鱼日一ㄋㄋㄋ
鲳	鱼日丨ㄋ一一
鲼	鱼十一丨丶丶
鲒	鱼吉一丨一一
鲽	鱼世一丨丶丶
鲐	鱼台ㄋ丶一一
鳏	鱼罒丨丶丶丶
鲤	鱼里丨ㄋ一一
鳃	鱼田丶ㄋ丶丶
鲮	鱼土ノ丶丶丶
鲑	鱼圭一丨一一
鲚	鱼文ノ丨丨丨
鳔	鱼覀一一丶丶
鳄	鱼吅一一ㄋㄋ
鲡	鱼丽一丨丶丶
鳕	鱼雨ㄋ一一一
鳎	鱼日ㄋ丶一一
鳗	鱼日丨ㄋ丶丶
鲔	鱼丨ㄋ一一
鳐	鱼爫ノ一丨丨
鲦	鱼夂一丨丶丶
鲅	鱼ㄋ丶丶丶
鲕	鱼而一ノ丨丨
鲂	鱼方丶一ノノ
鲱	鱼非丨一一一
鲠	鱼更一丨丶丶
稣	鱼禾ノ一丶丶
鲆	鱼平一丶丨丨
鲜	鱼羊丶ノ丨丨
鱿	鱼尢丶丶丶丶
鲀	鱼屯一ㄋㄋㄋ
鳚	鱼尸一一丶丶
鲃	鱼巴ㄋ丨ㄋㄋ
鳡	鱼咸丶ㄋ丶丶
鲌	鱼白ノ丨一一
鳑	鱼帝丶一ノノ
鲏	鱼皮ㄋノ丶丶
鳈	鱼白丨ㄋ丶丶
鲿	鱼丶ㄋ丶丶
鲉	鱼由丨ㄋ一一
鳀	鱼是丨ㄋ丶丶
鲙	鱼人一一丶丶
鳁	鱼日丨ㄋ一一
鳉	鱼丬ノㄋ丶丶
鳤	鱼丶丶一一
鲊	鱼乍ノ一一一
鱾	鱼己ㄋ一ㄋㄋ
鲯	鱼其一丨丶丶
鲪	鱼尹丨ㄋ一一
鲹	鱼叁ノノノノ
鳣	鱼亠丨ㄋ一一
鲗	鱼贝丨丨丨丨
鳒	鱼兼丶ノ丶丶
鳛	鱼羽ノ丨一一
鲾	鱼同丨ㄋ一一
鳠	鱼艹ノ丨丶丶
鱽	鱼刀ㄋノノノ
鲬	鱼甬ㄋ丶丨丨
鳂	鱼田一ㄋ丶丶
鲘	鱼丨ㄋ一一
觎	俞见丨ㄋㄋㄋ
毹	俞毛ノ一ㄋㄋ
逾	俞辶丶ㄋ丶丶
愈	俞心丶ㄋ丶丶
俞	俞ノ丶丨丨
鄃	俞阝ㄋ丨丨丨
予	予ㄋ丶丨丨
矛	矛ㄋ丶ノノ
鹜	矛攵ノㄋ一一
骛	矛攵ㄋㄋ一一
鹬	矛冏ノㄋ一一
矜	矛今ノ丶ㄋㄋ
豫	予象ノㄋ丶丶
预	予页一ノ丶丶
蝥	矛攵丨ㄋ丶丶
鍪	矛攵ノ丶一一
瞀	矛攵丨ㄋ一一
婺	矛攵ㄋノ一一
蟊	矛虫丨ㄋ丶丶
柔	矛木一丨丶丶
遹	矛冏丶ㄋ丶丶
矞	矛冏丨ㄋ一一
羽	羽ㄋ丶一一
翠	羽卒丶一丨丨
翼	羽田一丨丶丶
羿	羽廾一ノ丨丨
翌	羽立丶一一一
翟	羽隹ノ丨一一
鹨	羽㐱ノㄋ一一
戮	羽㐱一ㄋ丶丶
戳	羽隹一ㄋ丶丶
翀	羽中丨ㄋ丨丨
翂	羽分ノ丶ノノ
翯	羽高丶一一一
翚	羽冖一ㄋ丨丨
勠	羽㐱ㄋノノノ
霰	雨丨ㄋ丶丶
霹	雨辟ㄋ一丨丨
霖	雨林一丨丶丶
霜	雨相一丨一一
霪	雨氵ノ丶一一
霈	雨氵一丨丨丨
霭	雨讠丨ㄋㄋㄋ
霾	雨豸丨ㄋ一一
雹	雨勹ㄋ一ㄋㄋ
霆	雨壬ㄋ丶丶丶
震	雨辰一ノ丶丶
雳	雨厂ㄋノノノ
零	雨令ノ丶丶丶
霉	雨每ノ一丶丶
霄	雨肖丨丶一一
霓	雨臼ノㄋㄋㄋ
霎	雨立ㄋノ一一
霁	雨文ノ丨丨丨
雾	雨夂ㄋノノノ
雪	雨彐ㄋ一一一
霞	雨叚ㄋ一丶丶
雷	雨田丨ㄋ一一
雯	雨文丶一丶丶
霍	雨隹ノ丨一一
雨	雨一丨丶丶
酃	雨吅丨ㄋ丨丨
颥	雨而一ノ丶丶
露	雨ノㄋ一一
霸	雨革ノㄋ一一
雩	雨亏一一ㄋㄋ
需	雨而一ノ丨丨
霏	雨非丨一一一
雱	雨方丶一ノノ
霨	雨尸一一丶丶
霅	雨言丶一一一
鄠	雨亏ㄋ丨丨丨
鹴	雨相ノㄋ一一
建	聿廴ㄋ丶丶丶
聿	聿ㄋ一丨丨
远	元辶丶ㄋ丶丶
鼋	元口丨ㄋㄋㄋ
元	元一一ㄋㄋ
顽	元页一ノ丶丶
臌	月壴一丨丶丶
膨	月壴ノノノノ
脚	月去ㄋ丨丨丨
腻	月弋一一丶丶
肠	月汤ㄋノノノ
朐	月句ノㄋ一一
胞	月勹ㄋ一ㄋㄋ
腱	月聿ㄋ丶丶丶
肽	月大丶丶丶丶
胴	月冂丨ㄋ一一
胭	月因丨ㄋ一一
脆	月厃ㄋㄋㄋㄋ
肱	月ㄋ丶丶丶
腑	月广ノ丨丶丶
脏	月广一丨一一
脲	月尸丨ㄋ丶丶
腆	月曲ノ丶丶丶
肷	月欠ノㄋ丶丶
膳	月羊丶ノ一一
腔	月穴一丨一一
膻	月亠丨ㄋ一一
膀	月帝丶一ノノ
胱	月光丨丶ㄋㄋ
腕	月宀ノㄋㄋㄋ
膑	月宀ノ丨丶丶
脘	月宀一一ㄋㄋ
腚	月定丶丶丶丶
胺	月宀ㄋノ一一
腙	月宀一一丶丶
胲	月亥丶一丶丶
腋	月夜丶一丶丶
臃	月亠ㄋㄋ一一
胶	月交丶一丶丶
肮	月亠ノㄋㄋㄋ
脍	月人一一丶丶
臆	月音丶ㄋ丶丶
脖	月孛ㄋ丨一一
胫	月轻ㄋ丶一一
腹	月复ノ一丶丶
腈	月青一一一一
腠	月ノ一丶丶
媵	月ㄋノ一一
滕	月丨丶丶丶
塍	月一丨一一
脱	月总ノㄋㄋㄋ
朕	月䒑一ノ丶丶
胼	月䒑一ノ丨丨
腺	月白丨ㄋ丶丶
脂	月旨ノㄋ一一
胪	月⺊ㄋ一ノノ
朦	月劳一一丶丶
膜	月莫一丨丶丶
腌	月大丨ㄋㄋㄋ
膊	月甫一丨丶丶
股	月殳ノㄋ丶丶
脶	月呙丨ㄋ丶丶
膦	月米ノㄋ丨丨
膝	月木ノ丶丶丶
腥	月日ノ一一一
胆	月旦丨ㄋ一一
胗	月㐱ノ丶ノノ
胩	月上丨丶丶丶
肢	月十ㄋ丶丶丶
胝	月氏丶丶丶丶
胎	月台ㄋ丶一一
腮	月田丶ㄋ丶丶
脐	月文ノ丨丨丨
脎	月乂一丨丶丶
腰	月覀ㄋノ一一
膘	月覀一一丶丶
腽	月日丨ㄋ一一
脬	月爫ㄋ丨一一
胳	月各ノㄋ一一
腊	月昔一丨一一
腾	月ㄋㄋ一一
服	月卩ㄋ丶丶丶
肥	月巴ㄋ丨ㄋㄋ
胁	月力ノ丶丶丶
刖	月刂丨丨丨丨
肘	月寸一丨丶丶
胨	月东一ㄋ丶丶
肪	月方丶一ノノ
肤	月夫一一丶丶
肺	月一丨ㄋ丨丨
脯	月甫一丨丶丶
肝	月干一一丨丨
膈	月鬲一丨丨丨
肛	月工一丨一一
胍	月瓜ノノ丶丶
肌	月几ノㄋㄋㄋ
胛	月甲丨ㄋ丨丨
肼	月井一一丨丨
肋	月力ㄋノノノ
胧	月龙一ノ丶丶
脒	月米丶ノ丶丶
腼	月丆丨ㄋ一一
肭	月内丨ㄋ丶丶
脓	月农丶ㄋノノ
胂	月日丨丨丨丨
胜	月生ノ一一一
豚	月豕一ノ丶丶
肚	月土一丨一一
肫	月屯一ㄋㄋㄋ
胰	月大ㄋ一ㄋㄋ
脉	月永丶ㄋ丶丶
腴	月臼ノ丶丶丶
朋	月月ノㄋ一一
胙	月乍ノ一一一
胀	月长ノ一丶丶
肿	月中丨ㄋ丨丨
脞	月从一丨一一
月	月ノㄋ一一
甩	月乚ㄋㄋㄋㄋ
朊	月二ノㄋㄋㄋ
臁	月广丶ノ丶丶
肜	月彡ノノノノ
膪	月帝丨ㄋ一一
膣	月穴一ㄋ一一
鹏	月月ノㄋ一一
胸	月勹ノ丶丨丨
腿	月艮丶ㄋ丶丶
脾	月卑ノ丨丨丨
膛	月一丨一一
脑	月㐫丶一丨丨
臊	月口丨ㄋ丶丶
腧	月俞ノ丶丨丨
脸	月佥ノ丶一一
胚	月不一一一一
胯	月大一一ㄋㄋ
肟	月亏一一ㄋㄋ
腩	月十丨ㄋ丨丨
腭	月吅一一ㄋㄋ
胖	月半丶ノ丨丨
腓	月非丨一一一
腘	月囗一一丶丶
胠	月去一丨丶丶
臜	月先ノ一丶丶
臑	月雨一ノ丨丨
螣	月丨ㄋ丶丶
縢	月ㄋㄋ丶丶
腨	月山一ノ丨丨
肸	月八一丨丨丨
脟	月爫一丨丶丶
脿	月ノㄋ丶丶
腒	月尸一丨一一
胈	月ㄋ丶丶丶
朏	月出ㄋ丨丨丨
早	早丨ㄋ丨丨
迮	乍辶丶ㄋ丶丶
怎	乍心丶ㄋ丶丶
乍	乍ノ一一一
点	占灬丶丶丶丶
占	占丨一一一
觇	占见丨ㄋㄋㄋ
战	占戈一ㄋ丶丶
乩	占乚ㄋㄋㄋㄋ
卤	占乂ノ丶丶丶
长	长ノ一丶丶
爬	爪巴ㄋ丨ㄋㄋ
爪	爪ノノ丶丶
遥	爫缶丶ㄋ丶丶
舜	受舛ノㄋ丨丨
爱	受ㄋ丶丶丶
受	受又ㄋ丶丶丶
舀	爫臼ノ丨一一
采	爫木一丨丶丶
妥	爫女ㄋノ一一
爵	爫罒ㄋ一丶丶
奚	爫幺一ノ丶丶
爰	爰ノ丶丶丶
孚	爫子ㄋ丨一一
虢	爫寸丨一ㄋㄋ
鹞	爫缶ノㄋ一一
繇	爫缶ノㄋ丶丶
彩	爫木ノノノノ
乳	爫子ㄋㄋㄋㄋ
郛	爫孑ㄋ丨丨丨
觅	爫见丨ㄋㄋㄋ
谿	爫幺一ノ一一
胥	疋⺝丨ㄋ一一
蛋	疋虫丨ㄋ丶丶
买	买ㄋ丶丶丶
乜	乚ㄋㄋㄋㄋ
敢	敢攵ノ一丶丶
疏	㐬丶一ㄋㄋ
